title,company,location,job_type,salary,url,scraped_at
Skilled Labourers,,atFast Labour Hire Brisbane,Casual,$36 – $38 per hour,https://www.seek.com.au/job/92818209?type=standard&ref=search-standalone#sol=63a4cdbde41bbcdaabd5aced17cc1c4b9293218c,2026-06-20 14:59:53
Maintenance Crew Member (multiple positions available),,Brisbane QLD,N/A,N/A,https://www.seek.com.au/job/92764972?type=standard&ref=search-standalone#sol=cf2b8ea3bab3178d18fae596d90c9d59fc7cf9dd,2026-06-20 14:59:53
"Civil Labourers - FIFO with $80 LAHA + Accommodation, ASAP Start!",,"Richlands,Brisbane QLD",N/A,$38 - $39 p.h. + + SUPER + OT paid on penalties!,https://www.seek.com.au/job/92605724?type=standard&ref=search-standalone#sol=073b69a8f99a9df7511df52f5c8527d8fa8d8c65,2026-06-20 14:59:53
Commercial Duct Installer / Skilled Labourer - 9 day fortnight,,Brisbane QLD,N/A,$40 – $60 per hour,https://www.seek.com.au/job/92551569?type=standard&ref=search-standalone#sol=14e4ef07f740e8c68025b2c3a85cc466e0227337,2026-06-20 14:59:53
Building & Construction Labourer Wanted Immediate start,,"Western Suburbs & Ipswich,Brisbane QLD",Casual,N/A,https://www.seek.com.au/job/92748681?type=standard&ref=search-standalone#sol=4b9c263e5dc0caf913d303af40e7af47289ae31f,2026-06-20 14:59:53
40-50+ hour weeks for Ticketed Asbestos Labourers,,Brisbane QLD,Contract,N/A,https://www.seek.com.au/job/92707017?type=standard&ref=search-standalone#sol=28f3c4307b7888c8d061b44ce9284663504d9be4,2026-06-20 14:59:53
Safety Rail Labourer/Installer,,"Gatton,Somerset & Lockyer QLD",Casual,$33.51 – $40 per hour,https://www.seek.com.au/job/92574562?type=standard&ref=search-standalone#sol=aba1b1b6308556614adbdc1b92fca0f1532a7941,2026-06-20 14:59:53
"""Field Operator/Blast Crew/Bench hand/Labourer - Ebenezer",,"Ebenezer,Brisbane QLD",N/A,N/A,https://www.seek.com.au/job/92566945?type=standard&ref=search-standalone#sol=a0ffd08fc1ee25a5e80082ee808aa23141f3d34a,2026-06-20 14:59:53
Pipelayers and Labourers & Pit Builders,,"Toowoomba,Toowoomba & Darling Downs QLD",N/A,$40 – $60 per hour,https://www.seek.com.au/job/92786371?type=promoted&ref=search-standalone#sol=fbc75ad83fe3c228eb643fea3b9e71063cef0aaa,2026-06-20 15:17:28
Metal roofing labourers,,"Stanthorpe,Toowoomba & Darling Downs QLD",Casual,$40 – $50 per hour,https://www.seek.com.au/job/92834325?type=promoted&ref=search-standalone#sol=5fd5d914b83de2882057bc43bf0839b6e139298c,2026-06-20 15:17:28
Metal roofing labourers,,"Stanthorpe,Toowoomba & Darling Downs QLD",Casual,$40 – $50 per hour,https://www.seek.com.au/job/92834325?type=standard&ref=search-standalone#sol=698da1afd250f9da8df9ed9c27bcc263f14f96b0,2026-06-20 15:17:28
Pipelayers and Labourers & Pit Builders,,"Toowoomba,Toowoomba & Darling Downs QLD",N/A,$40 – $60 per hour,https://www.seek.com.au/job/92786371?type=standard&ref=search-standalone#sol=22dffb52fb68c29eace177c6fae4cb7764bf926d,2026-06-20 15:17:28
Construction Labourer - Toowoomba,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92824315?type=standard&ref=search-standalone#sol=6795b8416da1a011abf68a2f120f71bf705a9bd2,2026-06-20 15:17:28
40-50+ hour weeks for Ticketed Asbestos Labourers,,Brisbane QLD,Contract,N/A,https://www.seek.com.au/job/92707017?type=standard&ref=search-standalone#sol=b692903af3a6ab327a89c20f658fc5ec49a9103e,2026-06-20 15:17:28
Casual Construction Labourers,,"Leyburn,Toowoomba & Darling Downs QLD",Casual,N/A,https://www.seek.com.au/job/92765756?type=standard&ref=search-standalone#sol=ddd63bc0a1ddeb15da55b9eceb1ee1ef43335cbe,2026-06-20 15:17:28
Brisbane City Council - Concrete Labourers (North & South),,Brisbane QLD,Contract,$45 - $46 p.h. + Allowances + Super,https://www.seek.com.au/job/92824839?type=standard&ref=search-standalone#sol=86caba11355fbb9dd488289dff81f48b2c13a726,2026-06-20 15:17:28
Ticketed Labourer,,Brisbane QLD,Casual,Ticketed Labourers wanted across Brisbane. $37-$45/hr + super. White Card and construction tickets required. Immediate starts available.,https://www.seek.com.au/job/92818581?type=standard&ref=search-standalone#sol=687b730a217d4428058e6fd036d91cd530e56123,2026-06-20 15:17:28
