month,total_jobs,avg_salary,unique_companies,top_categories,top_states
2026-06,43880,"$21,316",1353,"FIFO / Mines(5633), Healthcare / Aged Care(5312), Construction(5156)","QLD(6296), SA(6022), NSW(5880)"
2026-07,35563,"$21,115",1212,"FIFO / Mines(4728), Healthcare / Aged Care(4416), Hospitality(4286)","SA(5342), QLD(4871), WA(4753)"
